Search_Genus,Search_Species_Epithet,Search_Name,Accepted_Name,Systematic_Order,Family,Subfamily,Genus,Name,Species_Epithet,Author_Year,Author,Year,Full_Name,Aggregate,Synonym_Search_Name,Synonym_Source,Species_Search_Name,usageKey,scientificName,rank,order,matchType,phylum,kingdom,genus,class,confidence,synonym,status,family
Papilio,cardamines,Papilio cardamines,Anthocharis cardamines,117,Pieridae,Pierinae,Anthocharis,Anthocharis cardamines,cardamines,"(Linnaeus, 1758)",Linnaeus,1758,"Anthocharis cardamines (Linnaeus, 1758)",FALSE,TRUE,"",TRUE,4535291,"Papilio cardamines Linnaeus, 1758",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Anthocharis,Insecta,98,TRUE,SYNONYM,Pieridae
Anthocharis,gruneri,Anthocharis gruneri,Anthocharis gruneri,118,Pieridae,Pierinae,Anthocharis,Anthocharis gruneri,gruneri,"Herrich-Schäffer, 1851",Herrich-Schäffer,1851,"Anthocharis gruneri Herrich-Schäffer, 1851",FALSE,FALSE,"",TRUE,1919706,"Anthocharis gruneri Herrich-Schaffer, 1851",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Anthocharis,Insecta,98,FALSE,ACCEPTED,Pieridae
Anthocharis,damone,Anthocharis damone,Anthocharis damone,119,Pieridae,Pierinae,Anthocharis,Anthocharis damone,damone,"Boisduval, 1836",Boisduval,1836,"Anthocharis damone Boisduval, 1836",FALSE,FALSE,"",TRUE,1919716,"Anthocharis damone Boisduval, 1836",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Anthocharis,Insecta,98,FALSE,ACCEPTED,Pieridae
Hamearis,lucina,Hamearis lucina,Hamearis lucina,120,Riodinidae,Nemeobiinae,Hamearis,Hamearis lucina,lucina,"(Linnaeus, 1758)",Linnaeus,1758,"Hamearis lucina (Linnaeus, 1758)",FALSE,FALSE,"",TRUE,1934693,"Hamearis lucina (Linnaeus, 1758)",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Hamearis,Insecta,98,FALSE,ACCEPTED,Riodinidae
Haemaris,lucina,Haemaris lucina,Hamearis lucina,120,Riodinidae,Nemeobiinae,Hamearis,Hamearis lucina,lucina,"(Linnaeus, 1758)",Linnaeus,1758,"Hamearis lucina (Linnaeus, 1758)",FALSE,TRUE,SIBMS,TRUE,1934693,"Hamearis lucina (Linnaeus, 1758)",SPECIES,Lepidoptera,FUZZY,Arthropoda,Animalia,Hamearis,Insecta,84,FALSE,ACCEPTED,Riodinidae
Papilio,lucina,Papilio lucina,Hamearis lucina,120,Riodinidae,Nemeobiinae,Hamearis,Hamearis lucina,lucina,"(Linnaeus, 1758)",Linnaeus,1758,"Hamearis lucina (Linnaeus, 1758)",FALSE,TRUE,"",TRUE,4535251,"Papilio lucina Linnaeus, 1758",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Hamearis,Insecta,98,TRUE,SYNONYM,Riodinidae
Lycaena,dimorpha,Lycaena dimorpha,Lycaena dimorpha,121,Lycaenidae,Lycaeninae,Lycaena,Lycaena dimorpha,dimorpha,"(Staudinger, 1881)",Staudinger,1881,"Lycaena dimorpha (Staudinger, 1881)",FALSE,FALSE,"",TRUE,1929153,"Lycaena Fabricius, 1807",GENUS,Lepidoptera,HIGHERRANK,Arthropoda,Animalia,Lycaena,Insecta,94,FALSE,ACCEPTED,Lycaenidae
Polyommatus,dimorphus,Polyommatus dimorphus,Lycaena dimorpha,121,Lycaenidae,Lycaeninae,Lycaena,Lycaena dimorpha,dimorpha,"(Staudinger, 1881)",Staudinger,1881,"Lycaena dimorpha (Staudinger, 1881)",FALSE,TRUE,"",TRUE,5140329,"Polyommatus dimorphus Staudinger, 1881",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Polyommatus,Insecta,98,FALSE,ACCEPTED,Lycaenidae
Lycaena,helle,Lycaena helle,Lycaena helle,122,Lycaenidae,Lycaeninae,Lycaena,Lycaena helle,helle,"([Denis & Schiffermüller], 1775)",[Denis & Schiffermüller],1775,"Lycaena helle ([Denis & Schiffermüller], 1775)",FALSE,FALSE,"",TRUE,7417698,"Lycaena helle (Denis & Schiffermuller, 1775)",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Lycaena,Insecta,98,FALSE,ACCEPTED,Lycaenidae
Papilio,helle,Papilio helle,Lycaena helle,122,Lycaenidae,Lycaeninae,Lycaena,Lycaena helle,helle,"([Denis & Schiffermüller], 1775)",[Denis & Schiffermüller],1775,"Lycaena helle ([Denis & Schiffermüller], 1775)",FALSE,TRUE,"",TRUE,4535248,"Papilio helle Denis & Schiffermuller, 1775",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Lycaena,Insecta,98,TRUE,SYNONYM,Lycaenidae
